id,extractor,source,statement,subject,verb,effect,object,effecttype,own_precision,own_out_of_context,own_comment
572139,starcon_noLinking,debate.org,"Your original examples of possible extinction events include an asteroid, the sun exploding or other natural disasters would all also apply to Mars as well as outside of this solar system.",your original examples of possible extinction events,include,0.666666666667,"asteroid, the sun exploding or other natural disasters",positively,,,
1439016,starcon,debate.org,"You wouldn""t need to believe in the author in order to appreciate the poem, but the author would have to actually exist for there to be a poem to appreciate.",order,appreciate,0.266666666667,poem,positively,-2,,
1152915,openie,debate.org,"You still have yet to give a convincing argument for why it SHOULD be illegal, and have simply tried to say my statements apply to drugs that they are not being applied to.",you,try,0.2,say,positively,-2,,
1404664,starcon,debate.org,"You see, God changed the law at this point.",god,change,0.466666666667,law,positively,0,,
1453221,starcon,debate.org,"You say that the bible is there to tell us about the world around us, id much rather pick up a scientific journal from a reputable source like 'Nature' the journal.",id,pick,0.466666666667,scientific journal,positively,-2,,
574820,starcon_noLinking,debate.org,"You say that ""when you begin to agree that race can be used as a factor in the profiling process your anti racial profiling standpoint enters a gray area.""",your anti racial profiling standpoint,enter,0.2,gray area,positively,,,
36348,openie,debate.org,you know the drill Pick a name for Husband and Wife,drill,pick,0.466666666667,name,positively,-1,,
586525,starcon_noLinking,debate.org,"You have contingent things being settled and foreknown trillions of years before any of the myriads of agents, circumstances, choices exist (which is why your sovereign/circumstance view just sounds like a deterministic Matrix....Calvinistic compatiblism moving determinism back from will to desire and Molinism moving it back from will to circumstance...God leaves the will, but controls circumstance and desires?!)",god,leave,-0.2,will,negatively,,,
477079,starcon_noLinking,debate.org,"You can accept that steroid usage causes more steroid usage, in which case Con's case is more detrimental there's already a system in place where athletes feel the need to use steroids and hormones to succeed.",that steroid usage,cause,0.2,"more steroid usage, in which case con's case is more detrimental there",positively,,,
627654,starcon,debate.org,"You also imply that immigration control punishes the innocent, But, From what I can see, Immigration control enforces the law, Not breaks it by restricting freedom.",immigration control,enforce,0.266666666667,law,positively,2,y,
1437097,starcon,debate.org,"Yo mamma is so stupid, when I told her to ""cry me a river build me a bridge and get over it"", she actually devoted her life to doing that.",river,build,0.733333333333,bridge,positively,-1,,
70070,starcon_noLinking,debate.org,"Yet the liberal production of assault rifles, handguns, and other hobby guns seethes across the United States, and cities like New York that have issued restriction polices have only yielded benefits, such as a slight decline in violent.",cities like new york that have issued restriction polices,yield,0.466666666667,"benefits, such as a slight decline in violent",positively,,,
148831,starcon_noLinking,debate.org,"Yes, people do divide the country, but something students are required to recite daily in the classroom they must be in is bound to cause controversy, so by giving a strong incentive, it is dividing the country, albeit indirectly.",people,divide,-0.8,country,negatively,,,
909420,starcon_noLinking,simple_wikipedia,Year 105 (CV) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar.,link,display,0.266666666667,full calendar,positively,,,
13146233,starcon,simple_wikipedia,Wolfe started legal proceedings to have voters in the primary in his name allowed.,wolfe,start,0.733333333333,legal proceedings,positively,2,?,
12935913,starcon,simple_wikipedia,"With Regal, Storm won the World Tag Team Championship twice.",storm,win,0.4,world tag team championship,positively,-1,,
1511876,starcon,simple_wikipedia,Wind shear caused Arlene to die on June 18.,wind shear,cause,0.2,arlene,positively,-2,,
806793,starcon_noLinking,simple_wikipedia,Whiting's first job was assisting his brother Nick in preparing race cars near the Brands Hatch racing circuit in England.,whiting's first job,assist,0.933333333333,his brother nick,positively,,,
2669,openie,debate.org,"While the unemployment rate did fall by 1984, it was due to the fact that Ronald Regan increased spending by forty percent during his first term, and borrowed more money than previous presidents, increasing public debt at the time by 91 percent.",ronald regan,increase,0.466666666667,public debt,positively,2,y,past
266935,starcon_noLinking,debate.org,"While the CEO of McDonald’s makes millions, he also employees hundreds of thousands.",mcdonald’s,make,0.466666666667,millions,positively,,,
929432,openie,debate.org,"While people in countries like Pakistan, Iran and Afghanistan support massifly sharia law, this tendancy goes down just slightly in european countries.",people,support,0.933333333333,law,positively,2,n,
1005035,openie,debate.org,"While I'm tempted to ignore the part where you basically told me I'm going to Hell, I'm going to refute that as well.",you,tell,0.733333333333,you,positively,-2,,
605760,starcon_noLinking,debate.org,"Whereas Laplace would expect an omniscient mind to be able to predict with absolute confidence the arrival of a photon at some specific point on the target screen, it turns out that the particle may arrive at one of a great number of points, but that the percentage of particles that arrive at each of such points is determined by the laws of the new physics.",laplace,expect,0.4,omniscient mind,positively,,,
263381,openie,debate.org,"Where Con sees only the destruction, I see the evolution of mankind.",i,see,0.466666666667,evolution,positively,-2,,
289893,openie,debate.org,"Whenever I see this argument, I cringe inwardly.",i,see,0.466666666667,argument,positively,-2,,
7810,openie,debate.org,"When we say more successful, it raises the question-at what?",it,raise,0.333333333333,question,positively,2,n,
1072781,openie,debate.org,"when we are small, our parents tell us that medicine can make sick people better and we accept this   Information from parents is not scientific evidence.",us,accept,0.466666666667,information,positively,-2,,
366314,openie,debate.org,"When the system was first put into place, the system excluded a very large part of the population.",system,exclude,-0.466666666667,part,negatively,-1,,
876096,starcon_noLinking,simple_wikipedia,"When the first pre-monsoon rains reach the area in May, humidity increases.",first pre-monsoon rains,reach,0.2,area,positively,,,
228892,openie,debate.org,"When the board of education makes a decision, it is followed through in public school.",board,make,0.466666666667,decision,positively,2,n,
1211181,openie,simple_wikipedia,"When she once again encounters Hope, who was saved from the funeral pyre by her father, Gabrielle sacrifices herself to save Xena by jumping into a lava pit and taking Hope with her.",xena,encounter,0.2,hope,positively,-2,,
123709,openie,debate.org,"When researchers studied Judeo-Christian sects who are speaking in tongues by brain scanning them, there were decreased levels of activity in the frontal lobes while there was increased activity in the emotional centers of the brain.",researchers,study,0.266666666667,sects,positively,-2,,
1455666,starcon,debate.org,When Paul wrote the letter to the Corinthians that again shows the need for leadership and the power to govern.,paul,write,0.4,letter,positively,2,n,
197592,starcon_noLinking,debate.org,"When Napoleon was returned to power in 1815, plenty of states had opposed his comeback.",plenty of states,oppose,-0.733333333333,his comeback,negatively,,,
74043,starcon_noLinking,debate.org,"When its cost of business increases, they have to raise the cost of their products to hopefully survive.",its cost of business increases,raise,0.333333333333,cost of their products,positively,,,
894912,starcon,debate.org,"When Darth Vader froze Hitler, there was an extremely long gap in between his rapping.",darth vader,freeze,-0.2,hitler,negatively,1,,past
1401177,starcon,debate.org,When Adam and Eve ate the apple from the tree they hid in shame from God.,adam and eve,eat,-0.4,apple,negatively,2,y,
311298,openie,debate.org,"When a tornado is coming do you hope that it hits you and misses the next block, or would you rather it hit them?",tornado,miss,-0.2,block,negatively,1,?,
782587,starcon,debate.org,"What Yahoo Answers said: If God can make a rock that he can""t move, then what He created becomes more powerful than the Creator.",god,make,0.466666666667,rock,positively,2,n,
1218131,openie,simple_wikipedia,What Wieland was trying to do was to make a big break from the past with its association with Hitler.,was,make,0.466666666667,big break,positively,-2,,
1446118,starcon,debate.org,"Well sir, quality is based on how friendly you are in these chat rooms.",sir,base,0.666666666667,quality,positively,-2,,
1435213,starcon,debate.org,Well evolution doesn't make sense and I believe God created the universe.,god,create,0.333333333333,universe,positively,2,y,
720222,starcon_noLinking,simple_wikipedia,"We know, from their cell structure, that multicellularity has evolved independently many times in Earth history, for example in plants and animals.",multicellularity,evolve,0.333333333333,independently many times in earth history,positively,,,
826863,openie,debate.org,"We know that life evolved with the same certainty that we know the Earth is round, that gravity keeps us on it, and that wasps at a picnic are annoying.",we,know,0.2,earth,positively,-2,,
1744143,openie,debate.org,We have already adjusted our reasoning as to why it is to remain illegal to be that it causes harm to society.,it,cause,0.2,harm,positively,2,n,
599310,starcon_noLinking,debate.org,We cannot assume all immigrants create jobs and start businesses.,all immigrants,create,0.333333333333,jobs,positively,,,
985072,openie,debate.org,"We can always use non-violence, so you always prefer the negative.",you,prefer,0.266666666667,negative,positively,0,,
2117720,openie,debate.org,We are on the brink of over populating and you create the argument that we need to procreate.,you,create,0.333333333333,argument,positively,2,n,
106326,openie,Debatepedia,Waste products can be recycled to produce cellulosic ethanol.,waste products,produce,0.6,ethanol,positively,2,y,
1419878,starcon,debate.org,Warrant 5: [10]  Impact 5: God promotes autocracy.,god,promote,0.733333333333,autocracy,positively,2,y,
1468150,starcon,debate.org,"Vocally, nobody blows out Sam Cooke, but being the lead man of a group is more than singing.",nobody,blow,0.2,sam cooke,positively,-2,,
881800,openie,debate.org,Vigilantism can act in a way to deter crime before it even begins.,vigilantism,deter,-0.6,crime,negatively,2,y,
1332534,openie,simple_wikipedia,"Variant spellings in English include mirzya, miriza, mirize, mirze, morsey, mursay, murse, meirsa, mirzey, mursi, murze, murza, mirza, myrza, meerza .",variant spellings,include,0.666666666667,mirzya,positively,-2,,
376659,starcon_noLinking,debate.org,"Unlike every other religion in the world, Judaism started with a national revelation, meaning that this revelation from G-d which started our sect was revealed to an entire nation.",this revelation from g-d,start,0.733333333333,our sect,positively,,,
1399713,starcon,debate.org,"Unless we blow ourselves up or a meteor destroys the earth, we'll get there eventually.",meteor,destroy,-0.866666666667,earth,negatively,2,y,
2517,openie,debate.org,"Unless he likes fooling some people, or likes to make it useless for us to have powers of reason, in which case I don't think he's God.",god,like,0.4,make,positively,-2,,
267063,starcon_noLinking,debate.org,Unions can also achieve these higher wages through corrupting governments to support their businesses.,unions,achieve,0.266666666667,these higher wages,positively,,,
669341,starcon_noLinking,debate.org,"Unfortunately, other alien encounters have made the news; this forces the Governor of Arizona (Dan Aykroyd) to demand answers.",other alien encounters,make,0.466666666667,news,positively,,,
1029848,starcon,debate.org,"Unfortunately, drugs do hurt others.",drugs,hurt,-0.866666666667,others,negatively,2,n,
475198,starcon_noLinking,debate.org,"Understandably, from the perspective of the theist, the atheist has just made a claim to knowledge which can then be followed by a theist's request for proof.",atheist,make,0.466666666667,claim to knowledge which can then be followed by a theist's request for proof,positively,,,
560262,starcon_noLinking,debate.org,"UC Santa Cruz, for example, used to have a holistic rating system, where each student merely received an ""essay"" as feedback from each professor.",each student,receive,0.2,"""essay""",positively,,,
693103,starcon,debate.org,U.S. Congress has also yet to pass the bill to approve the trade pact with South Korea that the two sides reworked in December and is expected to create tens of thousands of U.S. jobs.,u.s. congress,pass,0.2,bill,positively,-2,,
1394001,starcon,debate.org,"Two, in their booklet (What does the Bible really teach p. 220) It says, ""All religions who dont follow God are false religions.""",nt,follow,0.666666666667,god,positively,-2,,
529965,starcon,debate.org,"Two examples are Sony, sending someone to prison, for modifying their console, and PC Gamer mentioned Nintendo, sending its lawyers, to suppress a fan version of their Metroid game.",pc gamer,mention,0.2,nintendo,positively,-1,,
807568,starcon,debate.org,"To begin with, Deng brought prosperity to society.",deng,bring,0.266666666667,prosperity,positively,1,,past
1470997,starcon,debate.org,"To apply any of the other pillars of my opponent's moral system, or any moral system for that matter, we MUST have the ability to properly assign qualities to people, actions, behaviors, and events.",ability,assign,0.2,qualities,positively,-1,,
1211307,openie,debate.org,"To answer the question you posted, 'if the substance of the answer is unobtainable, wouldn't the question be moot?'",you,answer,0.4,question,positively,-2,,
639099,openie,debate.org,"To achieve this, I not only propose conventional obstacles such as a wall to climb over, a cargo net to crawl under and a water-filled pit to jump over but also a moving sidewalk on an incline that customers will have to run up in the opposite direction to travel.",i,achieve,0.266666666667,this,positively,2,n,
596841,starcon_noLinking,debate.org,"Thus, when Israel assassinated Abbas Mussawi, Hezbollah' s leader in Lebanon, in 1992, a more charismatic and successful leader, Hassan Nassrallah, succeeded Mussawi.","more charismatic and successful leader, hassan nassrallah,",succeed,0.2,mussawi,positively,,,
424422,starcon_noLinking,debate.org,"Thus, misogyny describes one particular way people can view women.",misogyny,describe,0.333333333333,one particular way people,positively,,,
369652,openie,debate.org,"Thus, I urge a vote for the Aff.",i,urge,0.533333333333,vote,positively,2,n,
1386798,starcon,debate.org,Thus Pro has still not proven how outcomes always justify morality.,outcomes,justify,0.266666666667,morality,positively,2,y,
719729,openie,debate.org,"Those who found him gathering wood brought him to Moses and Aaron and the whole assembly, and they kept him in custody, because it was not clear what should be done to him.",those,bring,0.266666666667,aaron,positively,-2,,
627333,starcon_noLinking,debate.org,Those are my reasons for believing Hillary could still get the nomination if she loses NH as well.,those are my reasons for believing hillary,get,0.266666666667,nomination,positively,,,
218480,openie,debate.org,"This, to me, seems to be an obligation to the world, unless I willingly renounce my place among society.",i,renounce,-0.533333333333,place,negatively,-2,,
311246,openie,debate.org,"This, along with variations of that, are an example of the stereotype that have been infused within our society, so much so that men will often act in ways that are offensive toward women without ever realizing it; such as opening doors for them or assuming that they should carry the groceries.",men,carry,0.2,groceries,positively,-2,,
722473,openie,debate.org,This was the topic that got me hooked on debate even though I never got to actually debate it.,me,get,0.266666666667,debate,positively,-2,,
481748,starcon_noLinking,debate.org,This statement assumes a homogeneity between corporations that doesn't necessarily exist.,this statement,assume,0.333333333333,homogeneity between corporations that doesn't necessarily exist,positively,,,
46004,starcon_noLinking,debate.org,"This pipeline will help the Midwest economy, which suffered the most from the recent recession.",this pipeline,help,0.933333333333,"midwest economy, which suffered the most from the recent recession",positively,,,
509343,openie,debate.org,This opposes to a time when just a simple message to someone who didn’t live in your area could take weeks to reach them and weeks to be given a response.,weeks,reach,0.2,them,positively,-2,,
673108,starcon,debate.org,"This means that the government can make changes on a federal level, and it is key that these national laws are changed.",government,make,0.466666666667,changes,positively,2,n,
280525,starcon_noLinking,debate.org,"This language by the Court likewise affirms that universities are subject to different standards than secondary public schools: namely, that universities enjoy more protection for free speech than high schools, thus additionally rendering proponent's reliance on   Bethel   and   Tinker   as erroneous.",universities,enjoy,0.333333333333,more protection for free speech than high schools,positively,,,
1477700,starcon,debate.org,This is why it is beneficial to society to allow gays to marry.,society,allow,0.866666666667,gays,positively,2,?,
630576,openie,debate.org,"This is not the best method of increasing their numbers; they still must be primarily reliant on getting theists to review their faith in an objective, rational way.",theists,review,0.266666666667,faith,positively,0,,
62688,openie,debate.org,"This is not my burden of proof to prove, it is really a tie, as we both need to answer this fundamental question, and the core of the modern SSM debate.",we,answer,0.4,question,positively,-2,,
1076410,openie,debate.org,"This is exactly the point I am trying to make, in order to preserve the society we must limit some rights.",we,preserve,0.666666666667,society,positively,2,n,
320526,starcon_noLinking,debate.org,This is because Con is following a religion that forbids him from believing without doubt that he will go to heaven the moment his time under the current death sentence is finsihed.,con,follow,0.666666666667,religion that forbids him from believing without doubt that he will go to heaven the moment his time under the current death sentence is finsihed,positively,,,
611291,starcon_noLinking,debate.org,This in in order to eliminate bias from the viewer in order to view his two principles of Difference and Equality.,order,view,0.333333333333,his two principles of difference and equality,positively,,,
213142,starcon_noLinking,debate.org,This hypothesis can be summed up as “mutually assured destruction deters war.”,mutually assured destruction,deter,-0.6,war,negatively,,,
1475958,starcon,debate.org,this happened despite the desire to make profits.,desire,make,0.466666666667,profits,positively,-1,,
1382975,openie,simple_wikipedia,"This fish is still in some danger because human beings change the places where it lives, because invasive species kill it or eat all the food, and because human beings have changed the water table.",beings,change,0.466666666667,places,positively,-2,,
